State,Commodity,price,types
ARKANSAS,"WHEAT, WINTER",182.85714285714286,GENERAL
CALIFORNIA,ALMONDS,4900.0,GENERAL
CALIFORNIA,APPLES,532.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,APRICOTS,923.0,GENERAL
CALIFORNIA,ARTICHOKES,1560.0,"FRESH MARKET, GENERAL"
CALIFORNIA,ASPARAGUS,4040.0,"FRESH MARKET, GENERAL"
CALIFORNIA,AVOCADOS,3440.0,GENERAL
CALIFORNIA,BARLEY,164.64285714285714,GENERAL
CALIFORNIA,"BARLEY, FEED",165.0,GENERAL
CALIFORNIA,"BEANS, DRY EDIBLE, INCL CHICKPEAS",1192.0,GENERAL
CALIFORNIA,"BEANS, SNAP",1340.0,GENERAL
CALIFORNIA,"BLUEBERRIES, TAME",4466.666666666667,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,BROCCOLI,829.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,CABBAGE,630.0,GENERAL
CALIFORNIA,CARROTS,554.0,GENERAL
CALIFORNIA,CAULIFLOWER,1100.0,GENERAL
CALIFORNIA,CELERY,604.0,GENERAL
CALIFORNIA,"CHERRIES, SWEET",2633.3333333333335,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"CORN, GRAIN",164.28571428571428,GENERAL
CALIFORNIA,"COTTON, COTTONSEED",301.0,GENERAL
CALIFORNIA,CUCUMBERS,641.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,DATES,2860.0,GENERAL
CALIFORNIA,GARLIC,1852.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,GRAPEFRUIT,703.8235294117646,GENERAL
CALIFORNIA,GRAPES,926.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"GRAPES, RAISIN TYPE",569.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"GRAPES, TABLE TYPE",821.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"GRAPES, WINE TYPE",972.0,"GENERAL, PROCESSING"
CALIFORNIA,HAY,192.0,GENERAL
CALIFORNIA,"HAY, (EXCL ALFALFA)",150.0,GENERAL
CALIFORNIA,"HAY, ALFALFA",204.0,GENERAL
CALIFORNIA,KIWIFRUIT,1820.0,"FRESH MARKET, GENERAL"
CALIFORNIA,LEMONS,1362.6315789473683,GENERAL
CALIFORNIA,"LETTUCE, HEAD",604.0,"FRESH MARKET, GENERAL"
CALIFORNIA,"LETTUCE, LEAF",820.0,"FRESH MARKET, GENERAL"
CALIFORNIA,"LETTUCE, ROMAINE",550.0,"FRESH MARKET, GENERAL"
CALIFORNIA,"MELONS, CANTALOUP",383.99999999999994,"FRESH MARKET, GENERAL"
CALIFORNIA,"MELONS, HONEYDEW",426.0,"FRESH MARKET, GENERAL"
CALIFORNIA,"MELONS, WATERMELON",412.0,"FRESH MARKET, GENERAL"
CALIFORNIA,NECTARINES,980.0,GENERAL
CALIFORNIA,OLIVES,788.0,"GENERAL, PROCESSING"
CALIFORNIA,"OLIVES, , CANNED",1040.0,PROCESSING
CALIFORNIA,"OLIVES, , CRUSHED",698.0,PROCESSING
CALIFORNIA,"OLIVES, , LIMITED",720.0,PROCESSING
CALIFORNIA,"ONIONS, DRY",313.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,ORANGES,629.7368421052631,GENERAL
CALIFORNIA,"ORANGES, MID & NAVEL",671.3157894736842,GENERAL
CALIFORNIA,"ORANGES, VALENCIA",457.8947368421053,GENERAL
CALIFORNIA,PEACHES,720.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"PEACHES, CLINGSTONE",470.0,"GENERAL, PROCESSING"
CALIFORNIA,"PEACHES, FREESTONE",768.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,PEARS,379.3333333333333,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"PEPPERS, BELL",925.0,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"PEPPERS, CHILE",717.9999999999999,GENERAL
CALIFORNIA,PISTACHIOS,5620.0,GENERAL
CALIFORNIA,PLUMS,941.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,POTATOES,330.0,GENERAL
CALIFORNIA,PRUNES,1400.0,"GENERAL, PROCESSING"
CALIFORNIA,PUMPKINS,382.0,"FRESH MARKET, GENERAL"
CALIFORNIA,RASPBERRIES,5380.0,GENERAL
CALIFORNIA,RICE,436.0,GENERAL
CALIFORNIA,"RICE, MEDIUM",432.0,GENERAL
CALIFORNIA,SAFFLOWER,430.0,GENERAL
CALIFORNIA,SPINACH,1059.3333333333333,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,SQUASH,802.0,GENERAL
CALIFORNIA,STRAWBERRIES,2200.0,GENERAL
CALIFORNIA,SUGARBEETS,48.6,GENERAL
CALIFORNIA,SUNFLOWER,540.0,GENERAL
CALIFORNIA,"SUNFLOWER, NON",483.99999999999994,GENERAL
CALIFORNIA,"SUNFLOWER, OIL TYPE",542.0,GENERAL
CALIFORNIA,SWEET CORN,570.0,"FRESH MARKET, GENERAL"
CALIFORNIA,SWEET POTATOES,414.0,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,TANGERINES,1908.3999999999996,GENERAL
CALIFORNIA,TOMATOES,348.0,"FRESH MARKET, GENERAL, PROCESSING"
CALIFORNIA,"WALNUTS, ENGLISH",1890.0,GENERAL
CALIFORNIA,WHEAT,212.5,GENERAL
CALIFORNIA,"WHEAT, SPRING, DURUM",231.78571428571428,GENERAL
CALIFORNIA,"WHEAT, WINTER",206.42857142857144,GENERAL
COLORADO,BARLEY,173.92857142857142,GENERAL
COLORADO,"BARLEY, FEED",119.64285714285714,GENERAL
COLORADO,"BARLEY, MALTING",175.35714285714286,GENERAL
COLORADO,"BEANS, DRY EDIBLE, INCL CHICKPEAS",727.9999999999999,GENERAL
COLORADO,"CORN, GRAIN",131.42857142857144,GENERAL
COLORADO,HAY,231.0,GENERAL
COLORADO,"HAY, (EXCL ALFALFA)",228.0,GENERAL
COLORADO,"HAY, ALFALFA",231.0,GENERAL
COLORADO,"MILLET, PROSO",202.5,GENERAL
COLORADO,"ONIONS, DRY",333.99999999999994,GENERAL
COLORADO,PEACHES,2300.0,GENERAL
COLORADO,POTATOES,262.0,"FRESH MARKET, GENERAL"
COLORADO,"SORGHUM, GRAIN",99.0,GENERAL
COLORADO,SUGARBEETS,16.9,GENERAL
COLORADO,SUNFLOWER,377.99999999999994,GENERAL
COLORADO,"SUNFLOWER, NON",416.0,GENERAL
COLORADO,"SUNFLOWER, OIL TYPE",366.0,GENERAL
COLORADO,WHEAT,143.2142857142857,GENERAL
COLORADO,"WHEAT, WINTER",143.2142857142857,GENERAL
CONNECTICUT,HAY,177.0,GENERAL
CONNECTICUT,"HAY, (EXCL ALFALFA)",173.0,GENERAL
CONNECTICUT,"HAY, ALFALFA",197.0,GENERAL
DELAWARE,BARLEY,119.64285714285714,GENERAL
DELAWARE,"CORN, GRAIN",153.57142857142856,GENERAL
DELAWARE,HAY,160.0,GENERAL
DELAWARE,"HAY, (EXCL ALFALFA)",145.0,GENERAL
DELAWARE,"HAY, ALFALFA",198.0,GENERAL
DELAWARE,SOYBEANS,298.2142857142857,GENERAL
DELAWARE,WHEAT,176.78571428571428,GENERAL
DELAWARE,"WHEAT, WINTER",176.78571428571428,GENERAL
FLORIDA,AVOCADOS,928.0,GENERAL
FLORIDA,"BEANS, SNAP",784.0,GENERAL
FLORIDA,"BLUEBERRIES, TAME",5280.0,GENERAL
FLORIDA,CABBAGE,400.0,GENERAL
FLORIDA,"CORN, GRAIN",156.78571428571428,GENERAL
FLORIDA,"COTTON, COTTONSEED",120.0,GENERAL
FLORIDA,"COTTON, UPLAND",1178.0,GENERAL
FLORIDA,CUCUMBERS,482.0,GENERAL
FLORIDA,GRAPEFRUIT,984.5714285714286,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,"GRAPEFRUIT, RED SEEDLESS",970.9285714285714,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,"GRAPEFRUIT, WHITE SEEDLESS",1091.142857142857,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,HAY,151.0,GENERAL
FLORIDA,"HAY, (EXCL ALFALFA)",151.0,GENERAL
FLORIDA,"MELONS, CANTALOUP",386.0,"FRESH MARKET, GENERAL"
FLORIDA,"MELONS, WATERMELON",360.0,"FRESH MARKET, GENERAL"
FLORIDA,ORANGES,759.6677740863787,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,"ORANGES, MID & NAVEL",731.3621262458472,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,"ORANGES, VALENCIA",771.8936877076412,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,PEANUTS,402.0,GENERAL
FLORIDA,"PEPPERS, BELL",1301.9999999999998,"FRESH MARKET, GENERAL"
FLORIDA,POTATOES,426.0,GENERAL
FLORIDA,SQUASH,875.9999999999999,"FRESH MARKET, GENERAL"
FLORIDA,STRAWBERRIES,3040.0,GENERAL
FLORIDA,"SUGARCANE, SUGAR",36.7,GENERAL
FLORIDA,SWEET CORN,600.0,"FRESH MARKET, GENERAL"
FLORIDA,TANGERINES,1046.5116279069766,"FRESH MARKET, GENERAL, PROCESSING"
FLORIDA,TOMATOES,1102.0,"FRESH MARKET, GENERAL"
GEORGIA,"BEANS, SNAP",1058.0,GENERAL
GEORGIA,"BLUEBERRIES, TAME",2513.3333333333335,"FRESH MARKET, GENERAL, PROCESSING"
GEORGIA,CABBAGE,326.0,GENERAL
GEORGIA,"CORN, GRAIN",161.78571428571428,GENERAL
GEORGIA,"COTTON, COTTONSEED",115.0,GENERAL
GEORGIA,"COTTON, UPLAND",1226.0,GENERAL
GEORGIA,CUCUMBERS,420.0,GENERAL
GEORGIA,HAY,84.0,GENERAL
GEORGIA,"HAY, (EXCL ALFALFA)",84.0,GENERAL
GEORGIA,"MELONS, CANTALOUP",352.0,"FRESH MARKET, GENERAL"
GEORGIA,"MELONS, WATERMELON",250.0,"FRESH MARKET, GENERAL"
GEORGIA,OATS,146.42857142857142,GENERAL
GEORGIA,"ONIONS, DRY",970.0,GENERAL
GEORGIA,PEACHES,1120.0,GENERAL
GEORGIA,PEANUTS,390.0,GENERAL
GEORGIA,PECANS,3759.9999999999995,GENERAL
GEORGIA,"PEPPERS, BELL",840.0,"FRESH MARKET, GENERAL"
GEORGIA,SOYBEANS,319.6428571428571,GENERAL
GEORGIA,SQUASH,855.9999999999999,GENERAL
GEORGIA,SWEET CORN,492.0,"FRESH MARKET, GENERAL"
GEORGIA,TOBACCO,3860.0,GENERAL
GEORGIA,"TOBACCO, FLUE",3860.0,GENERAL
GEORGIA,WHEAT,175.0,GENERAL
GEORGIA,"WHEAT, WINTER",175.0,GENERAL
HAWAII,AVOCADOS,2450.0,GENERAL
HAWAII,COFFEE,24146.666666666668,GENERAL
HAWAII,MACADAMIAS,2400.0,GENERAL
HAWAII,PAPAYAS,934.0,GENERAL
IDAHO,BARLEY,179.28571428571428,GENERAL
IDAHO,"BARLEY, FEED",122.85714285714285,GENERAL
IDAHO,"BARLEY, MALTING",183.2142857142857,GENERAL
IDAHO,"BEANS, DRY EDIBLE, INCL CHICKPEAS",594.0,GENERAL
IDAHO,CHICKPEAS,300.0,GENERAL
IDAHO,"CHICKPEAS, LARGE",366.0,GENERAL
IDAHO,"CHICKPEAS, SMALL",258.0,GENERAL
IDAHO,"CORN, GRAIN",159.64285714285714,GENERAL
IDAHO,HAY,157.0,GENERAL
IDAHO,"HAY, (EXCL ALFALFA)",145.0,GENERAL
IDAHO,"HAY, ALFALFA",158.0,GENERAL
IDAHO,HOPS,10500.0,GENERAL
IDAHO,LENTILS,367.99999999999994,GENERAL
IDAHO,"MINT, PEPPERMINT, OIL",37200.0,GENERAL
IDAHO,OATS,116.78571428571428,GENERAL
IDAHO,"ONIONS, DRY",148.0,GENERAL
IDAHO,POTATOES,161.86666666666665,"FRESH MARKET, GENERAL, PROCESSING"
IDAHO,SAFFLOWER,367.99999999999994,GENERAL
IDAHO,SUGARBEETS,50.9,GENERAL
IDAHO,WHEAT,179.64285714285714,GENERAL
IDAHO,"WHEAT, SPRING, (EXCL DURUM)",181.42857142857142,GENERAL
IDAHO,"WHEAT, SPRING, DURUM",206.78571428571428,GENERAL
IDAHO,"WHEAT, WINTER",178.57142857142856,GENERAL
ILLINOIS,"BEANS, SNAP",570.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
ILLINOIS,"CORN, GRAIN",126.78571428571428,GENERAL
ILLINOIS,HAY,161.0,GENERAL
ILLINOIS,"HAY, (EXCL ALFALFA)",128.0,GENERAL
ILLINOIS,"HAY, ALFALFA",176.0,GENERAL
ILLINOIS,OATS,146.42857142857142,GENERAL
ILLINOIS,PUMPKINS,162.99999999999997,"FRESH MARKET, GENERAL, PROCESSING"
ILLINOIS,SOYBEANS,315.7142857142857,GENERAL
ILLINOIS,SWEET CORN,278.1333333333333,"FRESH MARKET, GENERAL, PROCESSING"
ILLINOIS,WHEAT,180.7142857142857,GENERAL
ILLINOIS,"WHEAT, WINTER",180.7142857142857,GENERAL
INDIANA,"CORN, GRAIN",137.14285714285714,GENERAL
INDIANA,HAY,178.0,GENERAL
INDIANA,"HAY, (EXCL ALFALFA)",140.0,GENERAL
INDIANA,"HAY, ALFALFA",215.0,GENERAL
INDIANA,"MELONS, WATERMELON",303.99999999999994,GENERAL
INDIANA,"MINT, PEPPERMINT, OIL",44600.0,GENERAL
INDIANA,PUMPKINS,278.0,GENERAL
INDIANA,SOYBEANS,318.57142857142856,GENERAL
INDIANA,WHEAT,176.78571428571428,GENERAL
INDIANA,"WHEAT, WINTER",176.78571428571428,GENERAL
IOWA,"CORN, GRAIN",125.0,GENERAL
IOWA,HAY,124.0,GENERAL
IOWA,"HAY, (EXCL ALFALFA)",103.0,GENERAL
IOWA,"HAY, ALFALFA",130.0,GENERAL
IOWA,OATS,126.07142857142856,GENERAL
IOWA,SOYBEANS,302.8571428571429,GENERAL
KANSAS,BARLEY,87.5,GENERAL
KANSAS,CANOLA,233.99999999999997,GENERAL
KANSAS,"CORN, GRAIN",127.14285714285714,GENERAL
KANSAS,"COTTON, COTTONSEED",170.0,GENERAL
KANSAS,"COTTON, UPLAND",1206.0,GENERAL
KANSAS,HAY,127.0,GENERAL
KANSAS,"HAY, (EXCL ALFALFA)",98.0,GENERAL
KANSAS,"HAY, ALFALFA",140.0,GENERAL
KANSAS,OATS,121.42857142857142,GENERAL
KANSAS,"SORGHUM, GRAIN",114.0,GENERAL
KANSAS,SOYBEANS,295.71428571428567,GENERAL
KANSAS,SUNFLOWER,370.0,GENERAL
KANSAS,WHEAT,145.71428571428572,GENERAL
KANSAS,"WHEAT, WINTER",145.71428571428572,GENERAL
KENTUCKY,"CORN, GRAIN",140.0,GENERAL
KENTUCKY,HAY,149.0,GENERAL
KENTUCKY,"HAY, (EXCL ALFALFA)",130.0,GENERAL
KENTUCKY,"HAY, ALFALFA",208.0,GENERAL
KENTUCKY,SOYBEANS,320.7142857142857,GENERAL
KENTUCKY,TOBACCO,4298.0,GENERAL
KENTUCKY,"TOBACCO, AIR",4310.0,GENERAL
KENTUCKY,"TOBACCO, FIRE",5460.0,GENERAL
KENTUCKY,WHEAT,190.35714285714286,GENERAL
KENTUCKY,"WHEAT, WINTER",190.35714285714286,GENERAL
LOUISIANA,"CORN, GRAIN",137.85714285714286,GENERAL
LOUISIANA,"COTTON, COTTONSEED",157.0,GENERAL
LOUISIANA,"COTTON, UPLAND",1282.0,GENERAL
LOUISIANA,HAY,103.0,GENERAL
LOUISIANA,"HAY, (EXCL ALFALFA)",103.0,GENERAL
LOUISIANA,RICE,236.0,GENERAL
LOUISIANA,SOYBEANS,310.71428571428567,GENERAL
LOUISIANA,"SUGARCANE, SUGAR",42.1,GENERAL
MAINE,BARLEY,114.28571428571429,GENERAL
MAINE,"BLUEBERRIES, WILD",1440.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
MAINE,HAY,134.0,GENERAL
MAINE,"HAY, (EXCL ALFALFA)",130.0,GENERAL
MAINE,"HAY, ALFALFA",178.0,GENERAL
MAINE,OATS,105.35714285714286,GENERAL
MAINE,POTATOES,220.0,GENERAL
MARYLAND,BARLEY,119.64285714285714,GENERAL
MARYLAND,"CORN, GRAIN",153.57142857142856,GENERAL
MARYLAND,HAY,157.0,GENERAL
MARYLAND,"HAY, (EXCL ALFALFA)",145.0,GENERAL
MARYLAND,"HAY, ALFALFA",198.0,GENERAL
MARYLAND,SOYBEANS,298.2142857142857,GENERAL
MARYLAND,WHEAT,176.78571428571428,GENERAL
MARYLAND,"WHEAT, WINTER",176.78571428571428,GENERAL
MASSACHUSETTS,CRANBERRIES,823.3333333333334,"FRESH MARKET, GENERAL, PROCESSING"
MASSACHUSETTS,HAY,165.0,GENERAL
MASSACHUSETTS,"HAY, (EXCL ALFALFA)",161.0,GENERAL
MASSACHUSETTS,"HAY, ALFALFA",187.0,GENERAL
MICHIGAN,APPLES,547.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,ASPARAGUS,2000.0,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,BARLEY,107.14285714285714,GENERAL
MICHIGAN,"BEANS, DRY EDIBLE, INCL CHICKPEAS",634.0,GENERAL
MICHIGAN,"BEANS, SNAP",526.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,"BLUEBERRIES, TAME",1737.3333333333333,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,CABBAGE,259.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,"CHERRIES, TART",908.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,"CORN, GRAIN",133.21428571428572,GENERAL
MICHIGAN,CUCUMBERS,294.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,HAY,160.0,GENERAL
MICHIGAN,"HAY, (EXCL ALFALFA)",125.0,GENERAL
MICHIGAN,"HAY, ALFALFA",184.0,GENERAL
MICHIGAN,OATS,129.64285714285714,GENERAL
MICHIGAN,PEACHES,1110.0,GENERAL
MICHIGAN,"PEPPERS, BELL",697.9999999999999,GENERAL
MICHIGAN,POTATOES,196.79999999999998,GENERAL
MICHIGAN,PUMPKINS,320.0,"FRESH MARKET, GENERAL"
MICHIGAN,SOYBEANS,314.64285714285717,GENERAL
MICHIGAN,SQUASH,443.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
MICHIGAN,SUGARBEETS,35.0,GENERAL
MICHIGAN,WHEAT,186.07142857142856,GENERAL
MICHIGAN,"WHEAT, WINTER",186.07142857142856,GENERAL
MINNESOTA,BARLEY,156.42857142857142,GENERAL
MINNESOTA,"BARLEY, FEED",119.64285714285714,GENERAL
MINNESOTA,"BARLEY, MALTING",157.14285714285714,GENERAL
MINNESOTA,"BEANS, DRY EDIBLE, INCL CHICKPEAS",700.0,GENERAL
MINNESOTA,"BEANS, SNAP",1412.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
MINNESOTA,CANOLA,303.99999999999994,GENERAL
MINNESOTA,"CORN, GRAIN",116.42857142857142,GENERAL
MINNESOTA,HAY,142.0,GENERAL
MINNESOTA,"HAY, (EXCL ALFALFA)",105.0,GENERAL
MINNESOTA,"HAY, ALFALFA",155.0,GENERAL
MINNESOTA,OATS,93.92857142857142,GENERAL
MINNESOTA,"PEAS, GREEN",270.0,GENERAL
MINNESOTA,POTATOES,218.0,GENERAL
MINNESOTA,RYE,164.28571428571428,GENERAL
MINNESOTA,SOYBEANS,296.07142857142856,GENERAL
MINNESOTA,SUGARBEETS,35.4,GENERAL
MINNESOTA,SUNFLOWER,396.0,GENERAL
MINNESOTA,SWEET CORN,211.63333333333333,"FRESH MARKET, GENERAL, PROCESSING"
MINNESOTA,WHEAT,163.21428571428572,GENERAL
MINNESOTA,"WHEAT, SPRING, (EXCL DURUM)",163.21428571428572,GENERAL
MISSISSIPPI,"CORN, GRAIN",137.85714285714286,GENERAL
MISSISSIPPI,"COTTON, COTTONSEED",163.0,GENERAL
MISSISSIPPI,"COTTON, UPLAND",1208.0,GENERAL
MISSISSIPPI,HAY,95.0,GENERAL
MISSISSIPPI,"HAY, (EXCL ALFALFA)",95.0,GENERAL
MISSISSIPPI,PEANUTS,378.0,GENERAL
MISSISSIPPI,RICE,238.0,GENERAL
MISSISSIPPI,SOYBEANS,314.2857142857143,GENERAL
MISSISSIPPI,SWEET POTATOES,337.3333333333333,"FRESH MARKET, GENERAL, PROCESSING"
MISSISSIPPI,WHEAT,183.57142857142856,GENERAL
MISSISSIPPI,"WHEAT, WINTER",183.57142857142856,GENERAL
MISSOURI,"CORN, GRAIN",131.07142857142856,GENERAL
MISSOURI,"COTTON, COTTONSEED",169.0,GENERAL
MISSOURI,"COTTON, UPLAND",1196.0,GENERAL
MISSOURI,HAY,120.0,GENERAL
MISSOURI,"HAY, (EXCL ALFALFA)",114.0,GENERAL
MISSOURI,"HAY, ALFALFA",152.0,GENERAL
MISSOURI,OATS,139.28571428571428,GENERAL
MISSOURI,RICE,241.99999999999997,GENERAL
MISSOURI,SOYBEANS,312.5,GENERAL
MISSOURI,WHEAT,184.64285714285714,GENERAL
MISSOURI,"WHEAT, WINTER",184.64285714285714,GENERAL
MONTANA,BARLEY,158.2142857142857,GENERAL
MONTANA,"BARLEY, FEED",105.0,GENERAL
MONTANA,"BARLEY, MALTING",163.21428571428572,GENERAL
MONTANA,CANOLA,283.99999999999994,GENERAL
MONTANA,CHICKPEAS,350.0,GENERAL
MONTANA,"CHICKPEAS, LARGE",318.0,GENERAL
MONTANA,"CHICKPEAS, SMALL",366.0,GENERAL
MONTANA,"CORN, GRAIN",132.14285714285714,GENERAL
MONTANA,FLAXSEED,280.35714285714283,GENERAL
MONTANA,HAY,143.0,GENERAL
MONTANA,"HAY, (EXCL ALFALFA)",145.0,GENERAL
MONTANA,"HAY, ALFALFA",143.0,GENERAL
MONTANA,LENTILS,310.0,GENERAL
MONTANA,OATS,112.14285714285714,GENERAL
MONTANA,"PEAS, DRY EDIBLE",177.8,GENERAL
MONTANA,SAFFLOWER,347.99999999999994,GENERAL
MONTANA,SUGARBEETS,29.2,GENERAL
MONTANA,WHEAT,167.5,GENERAL
MONTANA,"WHEAT, SPRING, (EXCL DURUM)",171.78571428571428,GENERAL
MONTANA,"WHEAT, SPRING, DURUM",172.85714285714286,GENERAL
MONTANA,"WHEAT, WINTER",162.5,GENERAL
NEBRASKA,"BEANS, DRY EDIBLE, INCL CHICKPEAS",634.0,GENERAL
NEBRASKA,"CORN, GRAIN",125.71428571428571,GENERAL
NEBRASKA,HAY,103.0,GENERAL
NEBRASKA,"HAY, (EXCL ALFALFA)",87.0,GENERAL
NEBRASKA,"HAY, ALFALFA",109.0,GENERAL
NEBRASKA,"MILLET, PROSO",187.5,GENERAL
NEBRASKA,OATS,110.35714285714285,GENERAL
NEBRASKA,"PEAS, DRY EDIBLE",213.99999999999997,GENERAL
NEBRASKA,POTATOES,228.0,GENERAL
NEBRASKA,"SORGHUM, GRAIN",111.6,GENERAL
NEBRASKA,SOYBEANS,295.35714285714283,GENERAL
NEBRASKA,SUGARBEETS,16.9,GENERAL
NEBRASKA,SUNFLOWER,373.99999999999994,GENERAL
NEBRASKA,"SUNFLOWER, NON",420.0,GENERAL
NEBRASKA,"SUNFLOWER, OIL TYPE",360.0,GENERAL
NEBRASKA,WHEAT,138.57142857142856,GENERAL
NEBRASKA,"WHEAT, WINTER",138.57142857142856,GENERAL
NEVADA,HAY,175.0,GENERAL
NEVADA,"HAY, (EXCL ALFALFA)",171.0,GENERAL
NEVADA,"HAY, ALFALFA",175.0,GENERAL
NEW HAMPSHIRE,HAY,164.0,GENERAL
NEW HAMPSHIRE,"HAY, (EXCL ALFALFA)",161.0,GENERAL
NEW HAMPSHIRE,"HAY, ALFALFA",197.0,GENERAL
NEW JERSEY,ASPARAGUS,5120.0,GENERAL
NEW JERSEY,"BLUEBERRIES, TAME",2960.0,"FRESH MARKET, GENERAL, PROCESSING"
NEW JERSEY,"CORN, GRAIN",153.57142857142856,GENERAL
NEW JERSEY,CRANBERRIES,1100.6666666666667,"FRESH MARKET, GENERAL, PROCESSING"
NEW JERSEY,HAY,187.0,GENERAL
NEW JERSEY,"HAY, (EXCL ALFALFA)",179.0,GENERAL
NEW JERSEY,"HAY, ALFALFA",224.0,GENERAL
NEW JERSEY,PEACHES,1430.0,GENERAL
NEW JERSEY,"PEPPERS, BELL",721.6666666666666,"FRESH MARKET, GENERAL, PROCESSING"
NEW JERSEY,SOYBEANS,301.7857142857143,GENERAL
NEW JERSEY,SPINACH,453.99999999999994,GENERAL
NEW JERSEY,SQUASH,1070.0,"FRESH MARKET, GENERAL"
NEW JERSEY,WHEAT,176.78571428571428,GENERAL
NEW JERSEY,"WHEAT, WINTER",176.78571428571428,GENERAL
